context
"Filename: TG Booklet 1, Paragraph(s) Number: 2, Content: THIRD EDITION"
"Filename: TG Booklet 1, Paragraph(s) Number: 3, Content: BOOKLET ONE: INTRODUCTION SECTION  "
"Filename: TG Booklet 1, Paragraph(s) Number: 4, Content: ￼"
"Filename: TG Booklet 1, Paragraph(s) Number: 5, Content: DECEMBER 2020"
"Filename: TG Booklet 1, Paragraph(s) Number: 6, Content: ￼                                                                                                                  ￼"
"Filename: TG Booklet 1, Paragraph(s) Number: 7, Content: TECHNICAL GUIDELINES FOR INTEGRATED DISEASE SURVEILLANCE AND RESPONSE IN MALAWI"
"Filename: TG Booklet 1, Paragraph(s) Number: 8, Content: THIRD EDITION"
"Filename: TG Booklet 1, Paragraph(s) Number: 9, Content: BOOKLET ONE: INTRODCUTION SECTION"
"Filename: TG Booklet 1, Paragraph(s) Number: 10, Content: This booklet introduces all the eleven modules of the 3rd Edition Malawi Integrated Disease Surveillance and Response Technical Guidelines"
"Filename: TG Booklet 1, Paragraph(s) Number: 11, Content: DECEMBER, 2020"
"Filename: TG Booklet 1, Paragraph(s) Number: 12, Content: Table of Contents	"
"Filename: TG Booklet 1, Paragraph(s) Number: 13, Content: FOREWORD	iv"
"Filename: TG Booklet 1, Paragraph(s) Number: 14, Content: ACKNOWLEDGEMENTS	vi"
"Filename: TG Booklet 1, Paragraph(s) Number: 15, Content: LIST OF ABBREVIATIONS	vii"
"Filename: TG Booklet 1, Paragraph(s) Number: 16, Content: GLOSSARY (DEFINITION OF KEY TERMS)	x"
"Filename: TG Booklet 1, Paragraph(s) Number: 17, Content: 1.1 Introduction	1"
"Filename: TG Booklet 1, Paragraph(s) Number: 18, Content: 1.2 Public Health Surveillance	1"
"Filename: TG Booklet 1, Paragraph(s) Number: 19, Content: 1.2.1 Definition of the different types/approaches of public health surveillance	2"
"Filename: TG Booklet 1, Paragraph(s) Number: 20, Content: 1.2.1.1 Indicator-based surveillance	2"
"Filename: TG Booklet 1, Paragraph(s) Number: 21, Content: 1.2.1.2 Event- Based Surveillance (EBS)	5"
"Filename: TG Booklet 1, Paragraph(s) Number: 22, Content: 1.2.3 Event- based surveillance (EBS) and Indicator-Based Surveillance (IBS) as back-bone to the IDSR Strategy	8"
"Filename: TG Booklet 1, Paragraph(s) Number: 23, Content: 1.3 Integrated Disease Surveillance and Response strategy	9"
"Filename: TG Booklet 1, Paragraph(s) Number: 24, Content: 1.3.1 Objectives of Integrated Disease Surveillance and Response	11"
"Filename: TG Booklet 1, Paragraph(s) Number: 25, Content: 1.4 IDSR and IHR (2005)	12"
"Filename: TG Booklet 1, Paragraph(s) Number: 26, Content: 1.4.1 IHR 2005 purpose and goal	12"
"Filename: TG Booklet 1, Paragraph(s) Number: 27, Content: 1.4.2 Monitoring and evaluating the functional core capacity for implementation of IHR (2005)	14"
"Filename: TG Booklet 1, Paragraph(s) Number: 28, Content: 1.5 One Health and IDSR	15"
"Filename: TG Booklet 1, Paragraph(s) Number: 29, Content: 1.6 IDSR and Disaster Risk Management (DRM)	16"
"Filename: TG Booklet 1, Paragraph(s) Number: 30, Content: 1.7 Implementing Cross Border activities in the context of IDSR	17"
"Filename: TG Booklet 1, Paragraph(s) Number: 31, Content: 1.8 Electronic IDSR (eIDSR) as a platform to enhance real time surveillance	18"
"Filename: TG Booklet 1, Paragraph(s) Number: 32, Content: 1.9 Description of Surveillance functions as described in these guidelines	19"
"Filename: TG Booklet 1, Paragraph(s) Number: 33, Content: 1.9.2 How districts can strengthen surveillance and response	22"
"Filename: TG Booklet 1, Paragraph(s) Number: 34, Content: 1.10 Efforts of the WHO in the African Region to strengthen IDSR	23"
"Filename: TG Booklet 1, Paragraph(s) Number: 35, Content: 1.11 The contents of the guidelines	24"
"Filename: TG Booklet 1, Paragraph(s) Number: 36, Content: 1.11.1 Key people and entities that will use this guideline	25"
"Filename: TG Booklet 1, Paragraph(s) Number: 37, Content: 1.12 Priority diseases, conditions and events included in the IDSR	26"
"Filename: TG Booklet 1, Paragraph(s) Number: 38, Content: 1.13 Organization of the IDSR guidelines	29"
"Filename: TG Booklet 1, Paragraph(s) Number: 39, Content: 1.14 Annexes for Introduction section	31"
"Filename: TG Booklet 1, Paragraph(s) Number: 40, Content: Annex A: IDSR matrix: Core functions and activities by health system level	32"
"Filename: TG Booklet 1, Paragraph(s) Number: 41, Content: Annex B: Tool for assessment of surveillance and response at the district level	39"
"Filename: TG Booklet 1, Paragraph(s) Number: 42, Content: Annex C:  IHR 2005 Decision Instrument	46"
"Filename: TG Booklet 1, Paragraph(s) Number: 43, Content: Annex D: Events of potential international health concern requiring reporting to WHO under the International Health Regulations 2005	47"
"Filename: TG Booklet 1, Paragraph(s) Number: 44, Content: Annex E: Guide for Establishing Community Based Surveillance and response	49"
"Filename: TG Booklet 1, Paragraph(s) Number: 45, Content: Annex F: Required surveillance and response core capacities as described in the IHR	57"
"Filename: TG Booklet 1, Paragraph(s) Number: 46, Content: Annex G: Roles and Responsibilities of various actors in IDSR	61"
"Filename: TG Booklet 1, Paragraph(s) Number: 47, Content: Annex H: Guide for Establishing Surveillance and Response systems at PoE`	68"
"Filename: TG Booklet 1, Paragraph(s) Number: 48, Content: 1.15 References	72"
"Filename: TG Booklet 1, Paragraph(s) Number: 49, Content: FOREWORD"
"Filename: TG Booklet 1, Paragraph(s) Number: 50, Content: In 1998, the World Health Organization (WHO) Regional Office for Africa (AFRO) together with technical partners adopted a strategy for developing and implementing comprehensive public health surveillance and response systems in African countries, initially called integrated disease surveillance (IDS). However, to highlight the linkage between surveillance and response, the strategy was later re-named Integrated Disease Surveillance and Response (IDSR). Malawi adopted the first edition of the IDSR technical guidelines in 2005. Since then, there has been an investment in human and material resources to strengthen capacities for public health surveillance systems in order to prevent, timely detect, and respond appropriately to public health threats. "
"Filename: TG Booklet 1, Paragraph(s) Number: 51, Content: The coming into force, in 2007, of the International Health Regulations (IHR 2005), the emergence of new diseases, conditions and events and the formulation of strategies for disaster risk management (DRM) resulted in the need to revise the first edition of the IDSR technical guidelines. There was also the need to address the increasing burden of non-communicable diseases. Furthermore, there was the need to strengthen community-based surveillance for early detection, rapid confirmation and response to public health threats. Moreover, alignment with broader system strengthening objectives was required. Hence, in 2010, the second edition of the IDSR guidelines was developed, which Malawi subsequently adapted in 2014."
"Filename: TG Booklet 1, Paragraph(s) Number: 52, Content: Diseases, both communicable and non-communicable, continue to be a major cause of morbidity and mortality in Malawi and in the Africa region as a whole despite the advanced global knowledge on how to detect and control them. Of late, non-communicable diseases are increasingly becoming a major public health problem in the country. The majority of non-communicable diseases are preventable but multiple factors which include environmental, social, and economic determinants hamper effective prevention and control of these diseases. Emerging and re-emerging diseases and conditions pose a threat to the country’s health security. "
"Filename: TG Booklet 1, Paragraph(s) Number: 53, Content: Responding to health emergencies remains a major challenge, as shown by recent health emergencies in the country as well as the African region, the unprecedented Ebola Virus Disease of 2014, the ongoing Coronavirus Disease of 2019 Pandemic. Specifically, challenges in capacity to prevent, detect and respond to public health threats have been identified. As one way of addressing these problems, the Ministry of Health is strengthening the disease surveillance systems using the Third Edition of the guidelines for IDSR as revised by the WHO-AFRO in 2018 and adapted to our context in 2020."
"Filename: TG Booklet 1, Paragraph(s) Number: 54, Content: It is worth noting that, many Public Health Events (PHEs) and emergencies and their associated risk factors could be prevented or their effects mitigated. However, the health systems in most countries remain inadequate. To avert and mitigate the effects of future health security risks and emergencies, Malawi intends to  implement these IDSR technical guidelines. These guidelines recommend thresholds for action for priority diseases, conditions, public health events and responding to alerts. Using these action thresholds can be lifesaving. Therefore, it is important that we scale up and fully implement this third edition of the IDSR technical guidelines in the country as they explicitly describe what needs to be established at each level of the health system in order to detect, confirm and respond to diseases, conditions and health events that are responsible for  illness, deaths and disability in local communities."
"Filename: TG Booklet 1, Paragraph(s) Number: 55, Content: The cost of good public health surveillance as a public health good is relatively very low compared to many other strategies. Let us all embrace these IDSR technical guidelines to strengthen capacities for preparedness, alert and response for health security in the country."
"Filename: TG Booklet 1, Paragraph(s) Number: 56, Content: These guidelines are to be used by all relevant multisectoral stakeholders at all levels as general reference for surveillance activities, set of standard definitions for threshold levels that initiate action for responding to specific diseases, stand-alone reference for level-specific responsibilities, resource for developing training, supervision, monitoring and evaluation of surveillance activities, and as a guide for improving early detection and response of epidemic prone diseases."
"Filename: TG Booklet 1, Paragraph(s) Number: 57, Content: Finally, I appeal to you all to ensure that the third edition of the IDSR technical guidelines are implemented within a broader context of health system strengthening; better coordination between human and animal health surveillance and other sectors involved in One Health approach; improved use of laboratory network capacity in surveillance and response; and better community engagement in public health interventions."
"Filename: TG Booklet 1, Paragraph(s) Number: 58, Content: Dr. Charles Mwansambo"
"Filename: TG Booklet 1, Paragraph(s) Number: 59, Content: Secretary for Health"
"Filename: TG Booklet 1, Paragraph(s) Number: 60, Content: ACKNOWLEDGEMENTS"
"Filename: TG Booklet 1, Paragraph(s) Number: 61, Content: Ministry of Health is grateful to the following who contributed to the preparation of this revised document by reviewing early drafts and providing constructive comments: "
"Filename: TG Booklet 1, Paragraph(s) Number: 62, Content: MINISTRY OF HEALTH, HEADQUARTERS﷐GOVERNMENT SECTORS (DISTRICT HEALTH OFFICES (DHO),  ANIMAL HEALTH, MDF)﷐Dr Matthew KagoliDr Evelyn Chitsa BandaDr Annie Chauma MwaleMr Mabvuto ChiwaulaMr Edward ChadoDr Dzinkambani KambalameMr Wiseman ChimwazaMrs Mtisunge YelewaMr Daniel MapembaMr Mavuto ThomasMr Alvin Chidothi PhiriMs Rosemary BilesiMrs Brenda MhoneMs Enelesi MitochiMr Isaias DambeMr Sikhona ChipetaMs Ella ChamangaMr Allone GanizaniMr Hollystone KafanikhaleMs Flora DimbaMr Blessings KamangaMr Rajab BillyMr Precious PhiriMs Doreen N. AliDr Kaponda MasiyeDouglas MhoneMr Abel PhiriMr Harry Milala﷐Mr Noel ZondolaMr Chandiwira JereMr Austin ZgamboMr Paul ChungaDr Gracewell MatheweMs Masilina KausiwaMr Noel KhungaMr Willy KanyikaMr Chrispine ThomoMr Thomson KajomboDr Macdonald ChisaleMajor Lutufyo Kayange﷐PARTNER ORGANIZATIONS ﷐Ms Elizabeth Chingaipe, World Health Organization(WHO)Mr Joseph Wu, Luke International(LIN)Mr. Oscar Divala, UNICEFMr John E. Mtingwi, CSA/P"
"Filename: TG Booklet 1, Paragraph(s) Number: 63, Content: Special thanks go to the following for finalizing the document:  Dr. B. Chilima, Dr Evelyn Chitsa Banda, Dr Annie Chauma Mwale, Mr Mabvuto Chiwaula, Dr Getrude Chapotera, Mrs Elizabeth Chingaipe, Mr Edward Chado, Mr Wiseman Chimwaza, Mrs Mtisunge Yelewa, Mr Sydney Paul, Mr Alvin Chidothi Phiri, Mr Sikhona Chipeta and Mr Joseph Wu."
"Filename: TG Booklet 1, Paragraph(s) Number: 64, Content: LIST OF ABBREVIATIONS"
