ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords,retrived_context
Q829,"Compare the laboratory confirmation methods for Chikungunya and diabetes, and which diseases are diagnosed through blood glucose measurements?","Chikungunya is confirmed using serological tests and PCR, while diabetes diagnosis involves blood glucose measurements.",TG Booklet 6,"154, 166",Laboratory Confirmation For Chikungunya Vs. Diabetes,"Filename: TG Booklet 6, Paragraph(s) Number: 155, Content:  Background﷐Chikungunya fever is a viral illness that is spread by the bite of infected mosquitoes. The disease resembles dengue fever, and is characterized by severe, sometimes persistent, joint pain (arthritis), as well as fever and rash. It is rarely life-threatening. Nevertheless, widespread occurrence of diseases causes substantial morbidity and economic loss.The word ""Chikungunya"" is Makonde for ""that which bends up,"" in reference to the stooped posture of patients afflicted with the severe joint pain associated with the disease. Epidemics of fever, rash and arthritis, resembling Chikungunya fever were recorded as early as 1779. However, the virus was first isolated between 1952-1953 from both man and mosquitoes during an epidemic in Tanzania.Chikungunya historically displayed interesting epidemiological profiles in that: major epidemics appeared and disappeared cyclically, usually with an inter-epidemic period of 7-8 years and sometimes as long as 20 years. After a long period of absence, outbreaks appeared in Indonesia in 1999 and have been virtually ongoing since 2004.﷐Surveillance goal﷐ Detect Chikungunya sporadic cases and outbreaks early, and seek laboratory verification. Identify high risk areas in order to improve prevention of outbreaks by taking steps to avoid mosquito bites and elimination of breeding sites.﷐Standard case definition﷐Acute clinical caseClinical criterion: Fever >38.50 C (101.30F) and joint pain a (usually incapacitating b) with acute onset      AND Epidemiological criterion: resident or visitor in areas with local transmission of Chikungunya on the last 15 days (suspected case for epidemiological surveillance)    ORLaboratory criterion: confirmation by laboratory: PCR, serology or viral culture (confirmed case for epidemiological surveillance)Atypical caseClinical case of laboratory confirmed Chikungunya accompanied by other manifestations: neurological, cardiological, dermatological, ophthalmological, hepatic, renal, respiratory, or haematological, among others.Severe acute caseClinical case of laboratory-confirmed chikungunya presenting dysfunction of at least one organ or system that threatens life and requires hospitalizationSuspected and confirmed chronic casesSuspect chronic case: Person with previous clinical diagnosis of chikungunya after 12 weeks of the onset of the symptoms presenting with at least one of the following articular manifestations: pain, rigidity, or edema, continuously or recurrently.  Confirmed chronic case: Every chronic case with a positive chikungunya laboratory test   a Usually accompanied by exanthema, myalgia, back pain, headache and, occasionally, vomiting and diarrhoea (pediatric age       group).  b In children aged <3 years, joint pain is expressed as inconsolable crying, irritability, rejection to mobilization and/or walking.﷐ Respond to alert threshold﷐If Chikungunya cases are suspected:Report case-based information immediately to the next levelCollect specimens for confirming the casesConduct an investigation to determine the risk factors for transmissionManage and treat the cases using acetaminophen or paracetamol to relieve fever and non-steroidal anti- inflammatory agents﷐Respond to action threshold﷐If Chikungunya cases are confirmedSymptomatic treatment for mitigating pain and fever using non-steroidal anti-inflammatory drugs along with rest usually suffices. Persistent joint pain may require analgesic and long-term anti-inflammatory therapy.Prevention is entirely dependent upon taking steps to avoid mosquito bites and elimination of mosquito breeding sites.To avoid mosquito bites:Wear full sleeve clothes and long dresses to cover the limbsUse mosquito repellentsUse mosquito nets – to protect babies, old people and others, who may rest during the day. The effectiveness of such nets can be improved by treating them with permethrin (pyrethroid insecticide). Curtains (cloth or bamboo) can also be treated with insecticide and hung at windows or doorways, to repel or kill mosquitoesMosquitoes become infected when they bite people who are infected with Chikungunya. Mosquito nets and mosquito coils and repellents will help prevent mosquitoes from biting people﷐Analyse and interpret data﷐Time:Graph cases and deaths weekly. Construct an epidemic curve during outbreaks.Place:Plot location of case households with precise mapping.Person:Report immediate case-based information for cases and deaths. Report summary totals monthly.  During outbreak, count cases and deaths weekly. Analyse by age. Assess risk factors to improve     prevention of outbreaks.﷐Laboratory confirmation: Chikungunya﷐Diagnostic test﷐Serological tests show a four-fold rise in antibody titer to Chikungunya virus; the virus may be isolated from the blood of acutely ill patients in newborn mice, mosquitoes or cell culture or detected using IFA or Reverse Transcription Polymerase Chain Reaction (RT-PCR)﷐Specimen﷐Serum﷐When to collect the specimen﷐Collect specimen from the first suspected case (s). Suspected CHIK cases occur in clusters.Collect representative specimens from suspected cases. If outbreak is confirmed, collect more specimens from cases and also mosquitoes from the affected homes for testing.Type of Specimen:-Acute-phase blood (0-10 days after onset)-Convalescent-phase blood (7 - 21 days after onset)Time of collection:When patient presents; collect second sample during convalescence. Between days 7 and 21 after onset.﷐How to prepare,store, and transport the specimen﷐Transport of specimens should comply with the WHO guidelines for the safe transport of infectious substances and diagnostic specimens (WHO, 1997).For ELISA:Refrigerate at 2º to 8º C serum or clot for testing within 24 hour. If kept for longer store at -80ºC.For virus isolation and RT_PCRStore frozen at -20ºC for short-term storage or at -70ºC or transport in fully charged dry shipper.Mosquitoes for testing should be transported in fully charged dry shipper. Focus onAedes species﷐Results﷐Diagnostic services for Chikungunya are not routinely available. Contact the appropriate National authority or WHO. Ministry of Health, Disease Outbreak Management Unit should send samples to WHO reference labs e.g. KEMRIPreliminary results are ready within 24 hours after samples arrive in the laboratory.Confirmatory results are ready within a week from sample reception.
Filename: TG Booklet 6, Paragraph(s) Number: 184, Content: Laboratory confirmation: Epilepsy﷐Diagnostic test﷐Blood glucose (random capillary blood, and venous blood sugar), electrolytes to exclude other conditions such as diabetes, kidney pathologyExclude other conditions such as cerebral malaria, meningitis, toxoplasmosis; cerebral calcifications follow tuberculosis (tuberculoma), parasitic diseases and others by conducting appropriate medical investigations.﷐Specimen﷐Blood, and cerebro-spinal fluid﷐When to collect the specimen﷐Glucose – During the emergency admission of the patient (random blood glucose) Confirmed subsequently (fasting blood glucose)﷐How to prepare, store, and transport the specimen﷐Use universal precautions to minimize exposure to sharps and anybody fluid﷐Results﷐Results are always available within 1 to 3 hours from arrival in the laboratory﷐References :﷐WHO, Epilepsy in the WHO African Region: Bridging the Gap, WHO Regional Office for Africa, Congo, 2004.WHO, Epilepsy: a manual for medical and clinical officers in Africa, WHO, Geneva 2002
Filename: TG Booklet 6, Paragraph(s) Number: 156, Content: Reference: Chikungunya﷐Weekly Epidemiological Record N° 1, 2005, 80, 1-8; http//www.who.int/werWorld Health Organization http://www.who.int/mediacentre/factsheets/fs327/en/United States, Centers for Disease Control http://www.cdc.gov/ncidod/dvbid/chikungunya/Sergon et al Seroprevalence of Chikungunya Virus (CHIKV) Infection on Lamu Island, Kenya, October 2004. Am J Trop Med Hyg. 2008 Feb;78(2):333-337Powers et al. Evolutionary relationships and systematics of the alphaviruses. J Virol. 2001 Nov;75(21):10118-31"
Q721,"When should specimens be collected for Anthrax diagnosis, and how should they be prepared, stored, and transported?","Specimens should be collected during the vesicular stage, and caution is needed due to B. anthracis' high infectivity. Specimen collection methods and storage/transport details vary for different forms of Anthrax.",TG Booklet 6,140,"Anthrax Specimen Collection: Timing, Preparation, Transport","Filename: TG Booklet 6, Paragraph(s) Number: 140, Content: ﷐4.    Pleural and/or bronchial biopsies for immunohistochemistry (IHC).5.    Acute and convalescent serum samples for serology 6.Autopsy tissues                          from fatal cases for histopathology﷐When to collect the specimen﷐Specimens should be collected from any patient being evaluated for cutaneous Bacillus anthracis infection.It may not be possible to demonstrate B.anthracis in clinical specimens if the patient has been treated with antimicrobial agents.Organism is best demonstrated in specimen taken at the vesicular stageSpecimens for culture should be obtained prior to initiation of antimicrobial therapy If available at reference laboratories specimens may be submitted for PCRCaution: B. anthracis is highly infectious﷐How to prepare, store and transport specimen﷐Vesicular stage: collect fluid from intact vesicles on sterile swabs.Eschar stage: without removing eschar, insert swab beneath the edge of eschar, rotate and collect lesion material. Store specimen for ≤24 h and transport for ≤2h at room temperature.Stool: collect 5-10 g in a clean sterile leak-proof container. Store for ≤24 h at 4°C. Transport ≤1h at room temperature.Blood: collect per institution’s procedure for routine blood culture. Collect 10 ml of blood in EDTA tube for PCR. Transport ≤2h at room temperature.Sputum: collect expectorated specimen into a sterile leak proof container. Store for ≤24 h at 4°C. Transport ≤2 h at room temperature.﷐Results﷐Diagnostic services for Anthrax are not routinely available. Advance arrangements are usually required for Anthrax diagnostic services. Contact the appropriate National authority or WHO.
Filename: TG Booklet 6, Paragraph(s) Number: 138, Content: Analyse and interpret data: Anthrax (Human)﷐Time: Graphs of number of suspected / probable / confirmed cases by date.Place: Map of suspected and confirmed human and animal cases by geographical area  (district) Person: Table showing the number of suspected / probable / confirmed cases by date, age  and sex﷐Laboratory confirmation: Anthrax (Human)﷐Diagnostic test﷐Isolation of Bacillus anthracis from a clinical specimen (e.g. blood, lesions, discharges)Demonstration of B.anthracis in a clinical specimen by microscopic examination of stained smears (vesicular fluid, blood, cerebrospinal fluid, pleural fluid, stools) Positive serology (ELISA, Western blot, toxin detection, chromatographic assay, fluorescent antibody test). Detection of nucleic acid by PCR.﷐Specimen﷐Cutaneous1.For vesicular lesions, two swabs of vesicular fluid from an unopened vesicle2.For eschars, the edge should be lifted and two swab samples rotated underneath3.For ulcers, the base of the lesion should be sampled with two saline moistened swabsBlood cultures obtained prior to antimicrobial therapy, if the patient has evidence of systemic symptoms.A full thickness punch biopsy of a papule or vesicle including adjacent skin should be obtained from all patients with a lesion being evaluated for cutaneous anthrax, to be submitted in 10 percent formalin for histopathology.6.In patients not on antibiotic therapy or on therapy for <24 hours, a second biopsy specimen7. Acute and convalescent serum samples for serologic testing. Gastro-intestinal1. Blood cultures obtained prior to antimicrobial therapy.2. Ascites fluid for culture and PCR.3. Stool or rectal swab for culture and PCR.4. Oropharyngeal lesion, if present, for culture and PCR.5. Acute and convalescent serum samples for serologic testing.6. Autopsy tissues from fatal cases for histopathology.InhalationBlood cultures obtained prior to antimicrobial therapy.Pleural fluid, if present, for culture and PCR.CSF in patients with meningeal signs, for culture and PCR.
Filename: TG Booklet 6, Paragraph(s) Number: 280, Content: Laboratory confirmation﷐Diagnostic test﷐Isolation of smallpox (Variola) virus from a clinical specimenOrPolymerase chain reaction (PCR) assay identification of Variola DNA in a clinical specimenNote: Level C or D laboratories only.﷐Specimen﷐Biopsy specimens* Scabs*Vesicular fluid swab* Lesion skin (roof)* Pustule material* Blood samplesNote: blood samples from person where severe, dense rash may be difficult to draw as the skin may slough off. A central line may be needed for access in cases where a peripheral blood draw is difficult.* preferred specimens for diagnosis of acute illness during rash phase﷐When to collect﷐A suspected case of smallpox is a public health and medical emergency. Collect samples from every suspected case at available times to achieve specimen types recommended.﷐How toprepare, store, and transport﷐Typical practices associated with collection of patient specimens are appropriate for collection of orthopoxvirus lesions as well. These include wearing personal protective equipment, including gloves and sanitizing the site prior to collection. If alcohol is used to prepare the lesion for collection it is important to allow the lesion to dry before it is collected.Biopsy specimens:Aseptically place two to four portions of tissue into a sterile, leak proof, freezable container. Storage -20 °C to - 70 °C. Transport ~6h at 4 °C.Note: package non-formalin lesion biopsy for shipping on dry ice, leave formalin fixed biopsy at room temperature. Do not freeze formalin fixed biopsy sample.Scabs:Aseptically place scrapings/material into a sterile, leakproof, freezable container. Storage - 20 °C to - 70 °C. Transport ~6h at 4 °C.Vesicular fluid:Collect fluid from separate lesions onto separate sterile swabs. Be sure to include cellular material from the base of each respective vesicule. Storage -20 °C to - 70 °C. Transport ~6h at 4 °C.Blood:Draw 10 cc of blood into a plastic marble-topped tube, or a plastic yellow-topped serum separator tube.Note: approval must be obtained prior to the shipment of potential smallpox patient clinical specimens to a Reference laboratory.﷐Results﷐Diagnostic services for smallpox are not routinely available. Advance arrangements are usually required for smallpox diagnostic services. Contact the appropriate National authority or WHO.﷐Reference﷐WHO Fact Sheet, Smallpox. http://www.who.int/mediacentre/factsheets/smallpox"
Q464,"Which key information should be recorded during a register review about suspected cases, and how is this information utilized in the subsequent investigation activities?","During a register review, key information about suspected cases should be recorded, including patient details, signs and symptoms, date of onset, outcome, and immunization status. This information serves as a basis for case investigation activities. The recorded data contributes to the line-listing of suspected cases, which is crucial for analyzing outbreak patterns, identifying risk factors, and guiding further investigations and responses.",TG Booklet 3,439-440,"Register Review, Key Information, Suspected Cases, Patient Details, Signs, Symptoms, Onset, Outcome, Immunization Status","Filename: TG Booklet 3, Paragraph(s) Number: 421, Content: The purpose of a register review is to collect information on cases admitted to the health facility during a specific period. Explain that the information will be used to determine what caused the outbreak or increase in number of cases. The register should be used for;
Filename: TG Booklet 3, Paragraph(s) Number: 431, Content: Review the system and procedures health workers use to record information in the registers about diagnoses. Make sure that the information needed for investigating any suspected case is available. At a minimum, the register should include:
Filename: TG Booklet 2, Paragraph(s) Number: 160, Content: All cases (suspected, probable and confirmed) should always be recorded in a recognized facility register or logbook, and the IDSR reporting forms."
Q449,Why is the District log of suspected outbreaks and alerts designed to include information about response activities and steps taken during an outbreak?,"The log includes information about response activities and steps taken to provide a comprehensive overview of the outbreak response. Documenting these details is essential for understanding the effectiveness of interventions, identifying gaps or challenges in the response process, and improving future outbreak management strategies. The log serves as a valuable resource for evaluating the overall response and making informed decisions for ongoing and future outbreak preparedness and response efforts.",TG Booklet 3,412,"District Log, Response Activities, Steps Taken, Outbreak, Comprehensive Overview, Effectiveness, Gaps, Challenges, Improvement Strategies","Filename: TG Booklet 3, Paragraph(s) Number: 214, Content: Prepare a method for tracking the reporting of suspected outbreaks, events and rumours to the district/national level. The purpose for tracking reported outbreaks is to ensure that the report of each suspected outbreak, public health event or alert is followed by some action and resolution. Keeping this record will help to gather information for evaluating the timeliness and completeness of the outbreak investigation and response process.
Filename: TG Booklet 3, Paragraph(s) Number: 215, Content: A sample form for tracking reports of outbreaks and rumours is in Annex 4A of this section. If the district is using a district analysis workbook for recording and analysing long-term trends, the district should include the tracking form in the District Log book of alerts and rumours
Filename: TG Booklet 3, Paragraph(s) Number: 411, Content: Annex 4A: District log of suspected outbreaks and alerts"
Q6,What do Community based surveillance strategies focus on?,"Community-based surveillance strategies focus on two main approaches: the identification and reporting of events based on agreed indicators (lay case definitions) by trained community members, and the reporting of unusual events (alerts) that may indicate the early stages of outbreaks. The first approach involves standardized reporting to designated focal points like Health Surveillance Assistants (HSAs), while the second relies on triaging and verifying information from alerts, often reported by community volunteers. Both approaches actively engage the community in surveillance, utilizing local knowledge for early detection and response to public health events.",TG Booklet 1,86,"Community-based Surveillance Strategies, Identification, Reporting, Agreed Indicators, Lay Case Definitions, Trained Community Members, Triaging, Verifying, Early Detection, Response.","Filename: TG Booklet 1, Paragraph(s) Number: 86, Content: Community Based Surveillance (CBS):  Defined as the systematic detection and reporting of events of public health significance within the community by community members. CBS incorporates both Indicator-based and Event-based surveillance methods.  In CBS, there are identified focal person(s) e.g. Community volunteer who report cases or events to the designated focal point, Health Surveillance Assistants (HSA) within the nearby local health delivery points. Community based surveillance strategies focus on two approaches to collect community information. The first one relies on identifying and reporting events based on agreed indicators (lay case definitions). For example, trusted community members are trained to identify diseases such as measles, cholera, polio and Neonatal Tetanus, using community (lay) case definitions and use standardized reporting system to the next level. The second strategy relies on reporting of unusual events (alerts) which can alert early stages of an outbreak or any other public health threat in the community. Alerts may capture a wide variety of unusual events emerging at the community level and information from these alerts may be incomplete and unconfirmed and as such they all need to be triaged and verified.  Information using this strategy can also come from people who have already been oriented on the agreed indicators (lay case definitions) for example the community volunteers, or may be any other representatives from the community, who have been oriented to detect events like unusual animal deaths and report to the next level. Often Village Health Committees (VHCs) would link the patient identified through any of the strategies, to nearby health facility and can help identify contacts. 
Filename: TG Booklet 2, Paragraph(s) Number: 119, Content: Community members also play an essential role in surveillance by facilitating early detection and action to priority diseases, conditions, and events. Community members should be oriented about the concept, notion and importance of surveillance to actively detect, report, respond to, and monitor health events related to humans or animals in their catchment area. 
Filename: TG Booklet 1, Paragraph(s) Number: 431, Content: Community-Based Surveillance (CBS) is a simple, adaptable and low-cost public health initiative managed by communities in coordination with the formal surveillance structures. Communities and designated community focal points are trained and empowered to be aware of potential health risks including emerging events that might indicate a new health risk, close monitoring for notifiable and seasonal diseases or signs of an existing disease outbreak. An event that appears ‘unusual’ to the community might be to a health-trained professional an early warning sign of a more serious and larger health risk or public health event."
Q451,Compare and contrast the District log of suspected outbreaks and alerts with the laboratory supplies checklist in terms of their purposes and contents.,"The District log (Annex 4A) focuses on recording information about suspected outbreaks, alerts, or unexplained events, including disease details, cases, deaths, and response activities. In contrast, the laboratory supplies checklist (Annex 4B) provides a list of items required for safe specimen collection, handling, and transportation during an outbreak investigation. While the log captures epidemiological data, the checklist emphasizes equipment and materials needed for laboratory testing. Both documents contribute to effective outbreak response by providing systematic records and ensuring preparedness.",TG Booklet 3,"411, 414","District Log, Laboratory Supplies Checklist, Purposes, Contents, Epidemiological Data, Equipment, Outbreak Response","Filename: TG Booklet 3, Paragraph(s) Number: 215, Content: A sample form for tracking reports of outbreaks and rumours is in Annex 4A of this section. If the district is using a district analysis workbook for recording and analysing long-term trends, the district should include the tracking form in the District Log book of alerts and rumours
Filename: TG Booklet 2, Paragraph(s) Number: 206, Content: Laboratories should be used as early warning alerts to detect pathogens and other hazards that have potential to spread e.g. emergence of resistant strains in the hospital or the community (e.g. multi-drug resistant tuberculosis). Laboratory confirmation of diagnoses of diseases, conditions and events under surveillance is essential in order to:
Filename: TG Booklet 4, Paragraph(s) Number: 417, Content: Indicator ﷐Jan ﷐Feb ﷐Mar ﷐Apr ﷐May ﷐Jun ﷐Jul ﷐Aug ﷐Sep ﷐Oct ﷐Nov ﷐Dec ﷐Availability of SCD and IDSR forms/registers ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Existence of a mechanism to capture unusual or public health events from non-routine sources ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of complete surveillance reports submitted on time to the district ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of cases of diseases selected for case-based surveillance, which were reported to the district  using case-based or line listing forms ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of priority diseases for which a current line graph is available ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of priority diseases for which there is current lab data analysis ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Availability of Emergency preparedness and response plan ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Availability of supplies for specimen collection and transportation ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Availability of contingency stocks ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of suspected outbreaks of epidemic prone diseases notified to the district level within 24 hours of crossing the epidemic threshold ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of samples from suspected outbreak timely transported for lab investigation ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Availability of a functional epidemic preparedness committee ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Case Fatality rate for each epidemic prone disease reported ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of suspected outbreaks of epidemic prone disease notified to the district level within 24 hours of crossing the epidemic threshold ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Availability of  an isolation facility ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Attack rate for each epidemic- prone disease reported ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Availability of community feedback reports ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Proportion of feedback bulletins/reports received from the next higher level ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Reply YES or NO to the following checklist items ﷐Were surveillance reports submitted on time? ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐Are the trend graphs up-to-date? ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐If YES, have you observed any changes in the trends? ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐If YES, has the threshold been crossed? ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐If YES, have you taken action to alert the district? ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  ﷐  "
Q337,How can the laboratory results be reviewed during an outbreak investigation?,Review laboratory results with the investigation team at the health facility and assess whether they align with clinical findings. Seek assistance from national-level program managers or technical experts if questions arise.,TG Booklet 3,294,"Laboratory Results Review, Team, Health Facility, Clinical Alignment, National-level Assistance","Filename: TG Booklet 3, Paragraph(s) Number: 371, Content: Recommendations: For controlling the situation further investigation/studies may be recommended. The district rapid response team should then immediately prepare an outbreak investigation report. This detailed report of the outbreak investigation should be prepared and disseminated immediately to the health facility where the outbreak occurred, district, national and also WHO. 
Filename: TG Booklet 3, Paragraph(s) Number: 178, Content: The results of an investigation of an outbreak or other public health event leads to identification and assessment of people who have been exposed to an infectious disease or affected by an unusual health event. The investigation provides relevant information to use for taking immediate action and improving longer-term disease prevention activities.
Filename: TG Booklet 3, Paragraph(s) Number: 1857, Content: After an outbreak or event response has taken place, district staff who led the investigation should prepare a report. The purpose of the report is to document how the problem was identified, investigated, responded to, what the outcome was, decision taken and recommendations made. Make sure that the health unit that reported the initial cases receives a copy of the report. See Annex 7B and Annex 7D at the end of this section for an example of a recommended format and sample."
Q113,How should the One Health approach be implemented to improve reporting of public health risks?,"Emphasize the implementation of the One Health approach to improve reporting of public health risks across all levels, with a focus on strengthening technical and community capacities for all relevant sectors, including human physicians/nurses, veterinarians, and environmental inspectors.",TG Booklet 2,652,"One Health Approach Implementation, Reporting, Technical And Community Capacities","Filename: TG Booklet 2, Paragraph(s) Number: 652, Content: Ensure implementation of the One Health approach to improve reporting of public health risks across all levels, with emphasis also at the community level.  Emphasize on strengthening the technical and community capacities of staff for all relevant sectors (including human physicians/nurses, veterinarians (for livestock or wildlife) and environmental inspectors. 
Filename: TG Booklet 2, Paragraph(s) Number: 162, Content: One Health aims at applying a holistic approach in jointly detecting events and conducting risk assessment in responding to possible public health events occurring at the human-animal-environment interface. Detection of events under the One Health approach thus require all levels from community, district, region and national to strengthen collaboration across sectors, and jointly share responsibility of detecting events which might have impact to the health of humans, and their shared environment.
Filename: TG Booklet 1, Paragraph(s) Number: 151, Content: The One Health approach is intrinsic to and strongly reinforced by WHO’s IHR (2005) and the IDSR strategy as well as other global health frameworks. The One Health approach applies toward improving indicator and event-based surveillance, which is cornerstone for the early warning function of the IDSR. Animal and human health workers as well as other relevant partners should be engaged at various levels to be information sources for IDSR to further facilitate information sharing and joint rapid response activities.  The One Health approach offers a comprehensive framework for IHR (2005) implementation, helping to address Public Health Emergency of International Concern (PHEIC) of all sources. The key principles of the One Health approach include prevention and control of emerging infectious diseases (reference to internationally adopted standards i.e. IHR (2005) and OIE (World Organization for Animal Health) international standards), and support for national public health services and build on the existing structures.  "
Q1160,How does the role of a coordinator at the national level compare with that of district level focal points during acute crises?,"The national level coordinator provides overarching technical oversight and support, while district level focal points focus on coordinating disease surveillance and outbreak response specifically in crisis-affected populations.",TG Booklet 5,"128, 137-142","National Level Coordinator, District Level Focal Points, Acute Crises, Technical Oversight, Disease Surveillance, Outbreak Response","Filename: TG Booklet 5, Paragraph(s) Number: 137, Content: The existing IDSR focal points at district, level should coordinate surveillance and response activities in crisis-affected populations. However, during acute crises or complex emergencies where the capacities of or national/central surveillance focal points are constrained, WHO country office working in close collaboration with the health cluster should assign a partner or a focal point in each affected district to:
Filename: TG Booklet 1, Paragraph(s) Number: 108, Content: Surveillance focal points at the district and national levels collaborate with emergency response committees at each level to plan relevant public health response actions and actively seek opportunities for combining resources.
Filename: TG Booklet 5, Paragraph(s) Number: 128, Content: The overall coordination of data collection, entry, analysis and dissemination during humanitarian crises should be undertaken by the IDSR unit within the Ministry of Health (MoH) with support from WHO and partners, and fed as necessarily to the PHEOC if one already exists. If the PHEOC exists, the National Public Health Emergency Management Committee (PHEMC) coordinated by the national PHEOC is activated to support the coordination and response activities in the affected regions and districts. However, during acute crises or complex emergencies where the capacity of the national surveillance coordination unit in the MoH is greatly constrained, a coordinator (typically an epidemiologist or public health expert with experience in disease surveillance and disease control in emergencies) can be recruited to support the Ministry of Health during the acute phase of the crisis (WHO, 2012). The functions of the coordinator will be guided by the initial rapid assessment and   should include but not be limited to:"
Q188,Can you provide an example of a district spot map in disease surveillance?,"Yes, Figure 3.6 shows an example of a district spot map indicating the location of suspected and confirmed cases showing the location of factors such as roads, schools, wells and suspected and confirmed cases markers.",TG Booklet 2,817,"Example Of District Spot Map, Location Of Suspected And Confirmed Cases, Roads, Schools, Wells","Filename: TG Booklet 2, Paragraph(s) Number: 817, Content: Figure 3.6 Example of district spot map showing location of suspected and confirmed cases
Filename: TG Booklet 2, Paragraph(s) Number: 809, Content: Analysing data by place provides insight about where a disease is occurring. Establishing and regularly updating a spot map of cases for selected diseases can give ideas as to where, how, and why the disease is spreading. The dot density will give the total number of cases per defined geographic area.
Filename: TG Booklet 2, Paragraph(s) Number: 814, Content: Use manual methods or open source Geographic Information System (GIS) software, such as Health Mapper, QGIS, or Geographic Information Software (GIS) to create maps to use as part of routine analysis of disease surveillance of data. On a map of the area where cases occurred, mark the following:"
